index,Team,Record,RPI,Projections,1st,2nd,3rd,SOS,vs 1-5,vs 6-10,vs 11-20,vs 21+
234,Gordon,2-11,0.3847,,0.1538,0.4589,0.4674,164,0 - 0,0 - 0,0 - 0,2 - 11
235,Hanover,4-6,0.3831,,0.4000,0.3557,0.4211,261,0 - 0,0 - 0,0 - 0,4 - 6
236,SUNY Poly,4-7,0.3809,,0.3636,0.3843,0.3914,264,0 - 0,0 - 0,0 - 0,4 - 7
237,La Roche,1-7,0.3791,,0.1250,0.5428,0.3059,270,0 - 0,0 - 0,0 - 0,1 - 7
238,Franciscan,1-8,0.3774,,0.1111,0.4831,0.4324,213,0 - 0,0 - 0,0 - 0,1 - 8
239,Spalding,3-9,0.3759,,0.2500,0.4132,0.4271,232,0 - 0,0 - 0,0 - 0,3 - 9
240,Bard,1-11,0.3752,,0.0833,0.4619,0.4937,120,0 - 0,0 - 0,0 - 1,1 - 10
241,Dean,3-9,0.3748,,0.2500,0.4302,0.3887,237,0 - 0,0 - 0,0 - 0,3 - 9
242,Augsburg,2-11,0.3735,,0.1538,0.4298,0.4805,138,0 - 0,0 - 0,0 - 0,2 - 11
243,Whittier,0-11,0.3728,,0.0000,0.4965,0.4981,132,0 - 0,0 - 0,0 - 1,0 - 10
244,Westminster (PA),3-6,0.3728,,0.3333,0.3586,0.4405,265,0 - 0,0 - 0,0 - 0,3 - 6
245,Centenary,3-7,0.3720,,0.3000,0.3681,0.4516,252,0 - 0,0 - 0,0 - 0,3 - 7
246,Castleton,2-10,0.3706,,0.1667,0.4764,0.3627,233,0 - 0,0 - 0,0 - 0,2 - 10
247,Eastern,1-9,0.3662,,0.1000,0.4448,0.4750,169,0 - 0,0 - 0,0 - 0,1 - 9
248,Salem State,2-9,0.3617,,0.1818,0.4151,0.4347,217,0 - 0,0 - 0,0 - 0,2 - 9
249,Maine-Farmington,3-6,0.3615,,0.3333,0.3611,0.3903,271,0 - 0,0 - 0,0 - 0,3 - 6
250,Augustana,2-8,0.3592,,0.2000,0.3974,0.4420,244,0 - 0,0 - 0,0 - 0,2 - 8
251,Anna Maria,3-8,0.3577,,0.2727,0.3737,0.4109,242,0 - 0,0 - 0,0 - 0,3 - 8
252,Old Westbury,1-7,0.3571,,0.1250,0.4545,0.3945,250,0 - 0,0 - 0,0 - 0,1 - 7
253,Curry,5-9,0.3569,,0.3571,0.3164,0.4376,234,0 - 0,0 - 0,0 - 0,5 - 9
254,Notre Dame (MD),2-7,0.3548,,0.2222,0.3711,0.4549,238,0 - 0,0 - 0,0 - 0,2 - 7
255,William Peace,1-8,0.3533,,0.1111,0.4518,0.3983,236,0 - 0,0 - 0,0 - 0,1 - 8
256,Huntingdon,2-8,0.3469,,0.2000,0.3814,0.4249,257,0 - 0,0 - 0,0 - 0,2 - 8
257,Bethany,2-9,0.3450,,0.1818,0.4013,0.3957,255,0 - 0,0 - 0,0 - 0,2 - 9
258,King's,1-12,0.3426,,0.0769,0.4254,0.4427,186,0 - 0,0 - 0,0 - 0,1 - 12
259,Mitchell,0-9,0.3411,,0.0000,0.4881,0.3881,244,0 - 0,0 - 0,0 - 0,0 - 9
260,Pacific University,1-10,0.3394,,0.0909,0.4159,0.4348,217,0 - 0,0 - 0,0 - 0,1 - 10
261,Warren Wilson,3-3,0.3383,,0.5000,0.2241,0.4049,277,0 - 0,0 - 0,0 - 0,3 - 3
262,Keuka,1-9,0.3381,,0.1000,0.4091,0.4341,239,0 - 0,0 - 0,0 - 0,1 - 9
263,UW Stevens Point,0-9,0.3358,,0.0000,0.4348,0.4735,191,0 - 0,0 - 0,0 - 0,0 - 9
264,Purchase College,1-9,0.3344,,0.1000,0.4300,0.3775,263,0 - 0,0 - 0,0 - 0,1 - 9
265,Greensboro,1-10,0.3289,,0.0909,0.4069,0.4109,229,0 - 0,0 - 0,0 - 0,1 - 10
266,Lewis & Clark,0-12,0.3260,,0.0000,0.4236,0.4568,176,0 - 0,0 - 0,0 - 0,0 - 12
267,Franklin,1-6,0.3240,,0.1429,0.3726,0.4080,259,0 - 0,0 - 0,0 - 0,1 - 6
268,NC Wesleyan,0-10,0.3170,,0.0000,0.4489,0.3703,251,0 - 0,0 - 0,0 - 0,0 - 10
269,Saint Vincent,1-8,0.3153,,0.1111,0.3821,0.3859,267,0 - 0,0 - 0,0 - 0,1 - 8
270,Gwynedd-Mercy,0-11,0.3150,,0.0000,0.4070,0.4462,209,0 - 0,0 - 0,0 - 0,0 - 11
271,UMass-Boston,0-11,0.3130,,0.0000,0.4083,0.4356,222,0 - 0,0 - 0,0 - 0,0 - 11
272,Thomas College,2-8,0.3123,,0.2000,0.3257,0.3978,273,0 - 0,0 - 0,0 - 0,2 - 8
273,Wentworth,0-9,0.3119,,0.0000,0.4196,0.4083,248,0 - 0,0 - 0,0 - 0,0 - 9
274,Albertus Magnus,1-12,0.2967,,0.0769,0.3600,0.3898,256,0 - 0,0 - 0,0 - 0,1 - 12
275,Hilbert,0-7,0.2870,,0.0000,0.3983,0.3514,274,0 - 0,0 - 0,0 - 0,0 - 7
276,Rhode Island College,2-9,0.2866,,0.1818,0.2691,0.4263,269,0 - 0,0 - 0,0 - 0,2 - 9
277,Waynesburg,1-12,0.2857,,0.0769,0.3501,0.3657,268,0 - 0,0 - 0,0 - 0,1 - 12
278,Mount St. Joseph,0-10,0.2714,,0.0000,0.3245,0.4366,260,0 - 0,0 - 0,0 - 0,0 - 10
279,NVU-Lyndon,0-6,0.2365,,0.0000,0.2744,0.3972,276,0 - 0,0 - 0,0 - 0,0 - 6
280,Sweet Briar,1-8,0.2190,,0.1111,0.1707,0.4235,278,0 - 0,0 - 0,0 - 0,1 - 8
