rank,club,rating,link,gender,class,season,web_source
206,Circle City 2024 Titanium,80.4,,girls,2024,2023,insidelacrosse
207,Wasatch LC 2024,79.98,,girls,2024,2023,insidelacrosse
208,Yellow Jackets Dutchess 2024 Rowan,79.95,,girls,2024,2023,insidelacrosse
209,House 2024,79.73,,girls,2024,2023,insidelacrosse
210,Maxim 2024 Teal,79.71,,girls,2024,2023,insidelacrosse
1,M&D 2024 Black,99.9,,girls,2024,2022,insidelacrosse
2,CT Grizzlies 2024 Navy,99.67,,girls,2024,2022,insidelacrosse
3,Sky Walkers 2024 Blue,98.77,,girls,2024,2022,insidelacrosse
4,STEPS Elite NJ 2024 Blue,98.55,,girls,2024,2022,insidelacrosse
5,LI Yellow Jackets Swarm 2024 Weiner,98.5,,girls,2024,2022,insidelacrosse
6,Monster Elite 2024 Purple,98.11,,girls,2024,2022,insidelacrosse
7,Hero's 2024 Green,97.91,,girls,2024,2022,insidelacrosse
8,Capital 2024 Blue,97.77,,girls,2024,2022,insidelacrosse
9,NEMS 2024,97.77,,girls,2024,2022,insidelacrosse
10,Florida Select 2024,97.13,,girls,2024,2022,insidelacrosse
11,Integrity 2024 Green,96.55,,girls,2024,2022,insidelacrosse
12,Team 180 2024,96.23,,girls,2024,2022,insidelacrosse
13,LI Legacy 2024 Blue,96.2,,girls,2024,2022,insidelacrosse
14,Primetime 2024,96.08,,girls,2024,2022,insidelacrosse
15,Big 4 HHH 2024,95.86,,girls,2024,2022,insidelacrosse
16,DEWLAX 2024 Black,95.82,,girls,2024,2022,insidelacrosse
17,Mass Elite 2024 Red,95.19,,girls,2024,2022,insidelacrosse
18,Mad Dog West Elite 2024,95.12,,girls,2024,2022,insidelacrosse
19,Cav Lax Elite 2024,95.11,,girls,2024,2022,insidelacrosse
20,STEPS California 2024,95.02,,girls,2024,2022,insidelacrosse
21,South Jersey Select 2024 Pink,95.0,,girls,2024,2022,insidelacrosse
22,LI Yellow Jackets 2024 White,94.93,,girls,2024,2022,insidelacrosse
23,Jersey Shore Select 2024 Blue,94.84,,girls,2024,2022,insidelacrosse
24,Ultimate CC 2024 Blue,94.72,,girls,2024,2022,insidelacrosse
25,LI Yellow Jackets 2024 Ramos,94.51,,girls,2024,2022,insidelacrosse
26,LI Top Guns 2024 Black,94.48,,girls,2024,2022,insidelacrosse
27,Salt City Snipers 2024,94.34,,girls,2024,2022,insidelacrosse
28,Team 91 Carolina 2024 Flight,94.26,,girls,2024,2022,insidelacrosse
29,M&D 2024 Red,94.07,,girls,2024,2022,insidelacrosse
30,LI Liberty 2024 Black,93.9,,girls,2024,2022,insidelacrosse
31,3D Colorado 2024 AA,93.76,,girls,2024,2022,insidelacrosse
32,BBL Elite 2024 Black,93.64,,girls,2024,2022,insidelacrosse
33,Storm Select 2024,93.58,,girls,2024,2022,insidelacrosse
34,Phantastix 2024 Purple,93.51,,girls,2024,2022,insidelacrosse
35,LI Yellow Jackets 2024 Kildare,93.46,,girls,2024,2022,insidelacrosse
36,Aim 2024,93.38,,girls,2024,2022,insidelacrosse
37,M&D Orlando 2024 Black,93.37,,girls,2024,2022,insidelacrosse
38,LI Yellow Jackets 2024 Gold,93.3,,girls,2024,2022,insidelacrosse
39,Pride 2024 Black,93.29,,girls,2024,2022,insidelacrosse
40,Predators 2024,93.22,,girls,2024,2022,insidelacrosse
41,No Excuse 2024,93.1,,girls,2024,2022,insidelacrosse
42,Eagle Stix 2024 Blue,93.06,,girls,2024,2022,insidelacrosse
43,Renegades 2024,92.94,,girls,2024,2022,insidelacrosse
44,MD United 2024 East,92.85,,girls,2024,2022,insidelacrosse
45,Check-Hers 2024 Black,92.71,,girls,2024,2022,insidelacrosse
46,MFL 2024 Black,92.69,,girls,2024,2022,insidelacrosse
47,Laxachusetts 2024 Black,92.63,,girls,2024,2022,insidelacrosse
48,Sky Walkers 2024 White,92.59,,girls,2024,2022,insidelacrosse
49,Lax Maniax 2024 Black,92.44,,girls,2024,2022,insidelacrosse
50,TLC 2024 Red,92.41,,girls,2024,2022,insidelacrosse
51,Tenacity 2024,92.38,,girls,2024,2022,insidelacrosse
52,NXT 2024 Black,92.37,,girls,2024,2022,insidelacrosse
53,Xtreme 2024,92.36,,girls,2024,2022,insidelacrosse
54,Yellow Jackets South 2024,92.17,,girls,2024,2022,insidelacrosse
55,Ultimate 2024 Hustle,92.14,,girls,2024,2022,insidelacrosse
56,Southern Zone 2024,92.09,,girls,2024,2022,insidelacrosse
57,Hero's 2024 White,91.88,,girls,2024,2022,insidelacrosse
58,CLC 2024 Pride,91.8,,girls,2024,2022,insidelacrosse
59,Checkhers 2024,91.8,,girls,2024,2022,insidelacrosse
60,NH Tomahawks 2024 Purple,91.65,,girls,2024,2022,insidelacrosse
61,Monster Elite 2024 White,91.62,,girls,2024,2022,insidelacrosse
62,Lake Effect Storm 2024 Elite,91.53,,girls,2024,2022,insidelacrosse
63,Snipers Elite 2024,91.44,,girls,2024,2022,insidelacrosse
64,Ultimate PA 2024 Blue,91.14,,girls,2024,2022,insidelacrosse
65,Charlotte Style 2024,91.1,,girls,2024,2022,insidelacrosse
66,REV 2024 Black,91.1,,girls,2024,2022,insidelacrosse
67,Team CO Select Blue,91.04,,girls,2024,2022,insidelacrosse
68,Cavalier 2024,90.91,,girls,2024,2022,insidelacrosse
69,Coppermine 2024 Black,90.71,,girls,2024,2022,insidelacrosse
70,Team 91 Long Island 2024 Orange,90.7,,girls,2024,2022,insidelacrosse
71,LI Jesters 2024 Black,90.68,,girls,2024,2022,insidelacrosse
72,Capital 2024 Orange,90.6,,girls,2024,2022,insidelacrosse
73,True National 2024,90.56,,girls,2024,2022,insidelacrosse
74,Lacrosse Monkey 2024,90.54,,girls,2024,2022,insidelacrosse
75,UPROAR 2024 ELITE,90.34,,girls,2024,2022,insidelacrosse
76,Gold Coast 2024 Gold,90.32,,girls,2024,2022,insidelacrosse
77,Bay State Bullets 2024 Silver,90.24,,girls,2024,2022,insidelacrosse
78,Team BC Sophomores,90.23,,girls,2024,2022,insidelacrosse
79,DK3 2024,90.2,,girls,2024,2022,insidelacrosse
80,Atlanta Storm 2024 Blue,90.17,,girls,2024,2022,insidelacrosse
81,Triumph 2024,90.13,,girls,2024,2022,insidelacrosse
82,Lakeshore NP 2024,90.12,,girls,2024,2022,insidelacrosse
83,PA Express 2024 Orange,90.12,,girls,2024,2022,insidelacrosse
84,Relentless Hustle 2024,89.81,,girls,2024,2022,insidelacrosse
85,ESLC Pirates 2024,89.78,,girls,2024,2022,insidelacrosse
86,Tenacity Bay Area 2024,89.78,,girls,2024,2022,insidelacrosse
87,Sound 2024,89.62,,girls,2024,2022,insidelacrosse
88,C2 Select 2024 Black,89.6,,girls,2024,2022,insidelacrosse
89,Lakeshore 2024,89.59,,girls,2024,2022,insidelacrosse
90,True Illinois 2024 State,89.59,,girls,2024,2022,insidelacrosse
91,Middlesex Bears 2024,89.49,,girls,2024,2022,insidelacrosse
92,HOCO 2024 Black,89.48,,girls,2024,2022,insidelacrosse
93,LI Empire 2024 Bengals,89.28,,girls,2024,2022,insidelacrosse
94,Philly Blast 2024 Fight,89.18,,girls,2024,2022,insidelacrosse
95,NC Fusion 2024,89.09,,girls,2024,2022,insidelacrosse
96,York Invaders 2024,89.07,,girls,2024,2022,insidelacrosse
97,Dynasty Elite 2024 Zulu,89.03,,girls,2024,2022,insidelacrosse
98,Ultimate NJ 2024 Blue,88.98,,girls,2024,2022,insidelacrosse
99,LI Yellow Jackets 2024 O'Sullivan,88.98,,girls,2024,2022,insidelacrosse
100,Integrity 2024 Blue,88.96,,girls,2024,2022,insidelacrosse
101,Mad Dog NJ North 2024 Black,88.85,,girls,2024,2022,insidelacrosse
102,Major Force Black 2024,88.83,,girls,2024,2022,insidelacrosse
103,All Lax 2024,88.68,,girls,2024,2022,insidelacrosse
104,Team ONE Wildcat 2024,88.65,,girls,2024,2022,insidelacrosse
105,ADK Peak 2024,88.57,,girls,2024,2022,insidelacrosse
106,Coast 2024 Elite,88.55,,girls,2024,2022,insidelacrosse
107,214Lax Dallas 2024,88.39,,girls,2024,2022,insidelacrosse
108,DEWLAX 2024 BLUE,88.32,,girls,2024,2022,insidelacrosse
109,Blue Devils 2024,88.28,,girls,2024,2022,insidelacrosse
110,VA Metro 2024 Navy,88.25,,girls,2024,2022,insidelacrosse
111,Philly Blast 2024 Fire,88.2,,girls,2024,2022,insidelacrosse
112,Nor'easter 2024 Power,88.12,,girls,2024,2022,insidelacrosse
113,Dynasty 2024 Zulu,88.09,,girls,2024,2022,insidelacrosse
114,Triumph 2024 National Premier,88.05,,girls,2024,2022,insidelacrosse
115,Triple Threat Elite Central 2024,88.01,,girls,2024,2022,insidelacrosse
116,Redshirts 2024,88.0,,girls,2024,2022,insidelacrosse
117,LI Top Guns 2024 Purple,87.96,,girls,2024,2022,insidelacrosse
118,Oregon Pride 2024,87.96,,girls,2024,2022,insidelacrosse
119,GRIT Dallas 2024,87.94,,girls,2024,2022,insidelacrosse
120,GRIT Austin 2024,87.9,,girls,2024,2022,insidelacrosse
121,Minnesota Elite 2024,87.81,,girls,2024,2022,insidelacrosse
122,3D New England 2024,87.78,,girls,2024,2022,insidelacrosse
123,FLG 2024,87.77,,girls,2024,2022,insidelacrosse
124,STEPS Elite NJ 2024 White,87.77,,girls,2024,2022,insidelacrosse
125,Laxachusetts 2024 Yellow,87.64,,girls,2024,2022,insidelacrosse
126,Ultimate 2024 Power,87.59,,girls,2024,2022,insidelacrosse
127,Belles 2024,87.56,,girls,2024,2022,insidelacrosse
128,Metro 2024 Blue,87.56,,girls,2024,2022,insidelacrosse
129,Team BC 2024,87.54,,girls,2024,2022,insidelacrosse
130,SJ Shamrocks 2024,87.47,,girls,2024,2022,insidelacrosse
131,Nor'easter 2024 Grit,87.45,,girls,2024,2022,insidelacrosse
132,Mass Elite 2024 White,87.4,,girls,2024,2022,insidelacrosse
133,CCLax 2024 Black,87.2,,girls,2024,2022,insidelacrosse
134,Impact 2024,87.12,,girls,2024,2022,insidelacrosse
135,518Excelerate 2024,86.99,,girls,2024,2022,insidelacrosse
136,Gold Star 2024,86.89,,girls,2024,2022,insidelacrosse
137,Lady Blue Crabs 2024,86.89,,girls,2024,2022,insidelacrosse
138,Ultimate NC 2024 Blue,86.89,,girls,2024,2022,insidelacrosse
139,Granite State Elite 2024,86.88,,girls,2024,2022,insidelacrosse
140,MC Elite 2024 Midnight,86.77,,girls,2024,2022,insidelacrosse
141,Reign 2024,86.77,,girls,2024,2022,insidelacrosse
142,Lax On Elite 2024,86.76,,girls,2024,2022,insidelacrosse
143,Grit Houston 2024,86.61,,girls,2024,2022,insidelacrosse
144,Ultimate CLT 2024 Blue,86.53,,girls,2024,2022,insidelacrosse
145,3D Nation's Best 2024,86.38,,girls,2024,2022,insidelacrosse
146,NXT 2024 Volt,86.33,,girls,2024,2022,insidelacrosse
147,TLC 2024 Gold,86.32,,girls,2024,2022,insidelacrosse
148,Fire 2024,86.31,,girls,2024,2022,insidelacrosse
149,Yellow Jackets North 2024 Rockland,86.29,,girls,2024,2022,insidelacrosse
150,Bluegrass Premier 2024,86.18,,girls,2024,2022,insidelacrosse
151,Phantastix 2024 West,86.02,,girls,2024,2022,insidelacrosse
152,Yellow Jackets North 2024 Mager,86.01,,girls,2024,2022,insidelacrosse
153,Summit 2024 Black,85.86,,girls,2024,2022,insidelacrosse
154,DEWLAX 2024 Blue-White,85.75,,girls,2024,2022,insidelacrosse
155,Eagle Stix 2024 Grey,85.66,,girls,2024,2022,insidelacrosse
156,Pittsburgh Premier 2024 Blue,85.63,,girls,2024,2022,insidelacrosse
157,Indy United 2024,85.46,,girls,2024,2022,insidelacrosse
158,Lax Maniax 2024 White,85.39,,girls,2024,2022,insidelacrosse
159,CLC 2024 Bold,85.36,,girls,2024,2022,insidelacrosse
160,Orange Crush 2024,85.36,,girls,2024,2022,insidelacrosse
161,CCLAX 2024,85.35,,girls,2024,2022,insidelacrosse
162,BBL Elite 2024 Select,85.28,,girls,2024,2022,insidelacrosse
163,Common Goal 2024,85.2,,girls,2024,2022,insidelacrosse
164,Pride 2024 Loudon,85.13,,girls,2024,2022,insidelacrosse
165,Monster Elite 2024 Orange,85.12,,girls,2024,2022,insidelacrosse
166,Lucky Lax 2024,84.97,,girls,2024,2022,insidelacrosse
167,ADK 2024,84.94,,girls,2024,2022,insidelacrosse
168,True MN 2024 AAA,84.93,,girls,2024,2022,insidelacrosse
169,True CA Attack 2024,84.7,,girls,2024,2022,insidelacrosse
170,Limitless 2024,84.55,,girls,2024,2022,insidelacrosse
171,South Jersey Select 2024 Black,84.46,,girls,2024,2022,insidelacrosse
172,Coastal Crush 2024,84.22,,girls,2024,2022,insidelacrosse
173,Seattle Starz 2024,84.19,,girls,2024,2022,insidelacrosse
174,Madlax Capital Blue,84.06,,girls,2024,2022,insidelacrosse
175,HOCO 2024 Pink,83.86,,girls,2024,2022,insidelacrosse
176,Empress 2024,83.62,,girls,2024,2022,insidelacrosse
177,Yellow Jackets North 2024 Kaishan,83.62,,girls,2024,2022,insidelacrosse
178,Georgia Lady Outlaws 2024,83.58,,girls,2024,2022,insidelacrosse
179,Rebels 2024 Gold,83.46,,girls,2024,2022,insidelacrosse
180,Virginia One 2024 Gray,83.46,,girls,2024,2022,insidelacrosse
181,Phantastix 2024 White,83.41,,girls,2024,2022,insidelacrosse
182,Coppermine North 2024,83.25,,girls,2024,2022,insidelacrosse
183,DEWLAX CT 2024,83.21,,girls,2024,2022,insidelacrosse
184,MFL 2024 Blue,83.19,,girls,2024,2022,insidelacrosse
185,Yellow Jackets North Mid Atlantic 2024,83.02,,girls,2024,2022,insidelacrosse
186,DEWLAX 2024 CT,83.0,,girls,2024,2022,insidelacrosse
187,Denver Pride 2024,82.92,,girls,2024,2022,insidelacrosse
188,TLC 2024 White,82.87,,girls,2024,2022,insidelacrosse
189,Team Elevate 2024 Blue,82.84,,girls,2024,2022,insidelacrosse
190,Crush Elite 2024,82.77,,girls,2024,2022,insidelacrosse
191,Resolute 2024 Black,82.67,,girls,2024,2022,insidelacrosse
192,Recon 2024,82.64,,girls,2024,2022,insidelacrosse
193,DEWLAX 2024 White,82.45,,girls,2024,2022,insidelacrosse
194,VA Metro 2024 Orange,82.37,,girls,2024,2022,insidelacrosse
195,ICON 2024,82.36,,girls,2024,2022,insidelacrosse
196,UPROAR 2024 SELECT,82.23,,girls,2024,2022,insidelacrosse
197,Atlanta Storm 2024 Orange,82.17,,girls,2024,2022,insidelacrosse
198,True CO 2024 State,82.09,,girls,2024,2022,insidelacrosse
199,Florida Shine Elite 2024,82.0,,girls,2024,2022,insidelacrosse
200,LI Jesters 2024 Pink,81.84,,girls,2024,2022,insidelacrosse
201,Cavalier NoVa 2024,81.72,,girls,2024,2022,insidelacrosse
202,Medusa 2024,81.69,,girls,2024,2022,insidelacrosse
203,NH Tomahawks 2024 Gold,81.68,,girls,2024,2022,insidelacrosse
204,True Pittsburg 2024,81.56,,girls,2024,2022,insidelacrosse
205,Mad Dog NJ 2024 Red,81.42,,girls,2024,2022,insidelacrosse
206,Metro 2024 Green,81.4,,girls,2024,2022,insidelacrosse
207,Dynasty Elite 2024 Bravo,80.99,,girls,2024,2022,insidelacrosse
208,Jets Pink '23-'24,80.67,,girls,2024,2022,insidelacrosse
209,Mad Dog NJ North 2024 Red,80.67,,girls,2024,2022,insidelacrosse
210,Yellow Jackets North 2023-2024 Rockland,80.67,,girls,2024,2022,insidelacrosse
1,M&D 2024 Black,99.9,,girls,2024,2021,insidelacrosse
2,Mad Dog West Elite 2024,99.76,,girls,2024,2021,insidelacrosse
3,Monster National 2024 Purple,99.75,,girls,2024,2021,insidelacrosse
4,Sky Walkers 2024 Blue,99.66,,girls,2024,2021,insidelacrosse
5,LI Yellow Jackets Swarm 2024 Weiner,99.29,,girls,2024,2021,insidelacrosse
6,NEMS 2024,98.8,,girls,2024,2021,insidelacrosse
7,Hero's 2024 Green,98.65,,girls,2024,2021,insidelacrosse
8,STEPS Elite NJ 2024 Blue,98.63,,girls,2024,2021,insidelacrosse
9,CT Grizzlies 2024 Navy,98.29,,girls,2024,2021,insidelacrosse
10,Team 180 2024,97.98,,girls,2024,2021,insidelacrosse
11,Florida Select 2024,97.54,,girls,2024,2021,insidelacrosse
12,PLC 2024 Black,97.4,,girls,2024,2021,insidelacrosse
13,3D Colorado 2024,97.07,,girls,2024,2021,insidelacrosse
14,DEWLAX 2024 Black,96.55,,girls,2024,2021,insidelacrosse
15,Cavalier 2024,96.08,,girls,2024,2021,insidelacrosse
16,Integrity 2024,95.36,,girls,2024,2021,insidelacrosse
17,3D Colorado 2024 AA,95.31,,girls,2024,2021,insidelacrosse
18,LI Yellow Jackets 2024 Ramos,95.13,,girls,2024,2021,insidelacrosse
19,Monster Elite 2024,95.01,,girls,2024,2021,insidelacrosse
20,Capital 2024 Blue,94.89,,girls,2024,2021,insidelacrosse
21,Lax Maniax 2024 Black,94.88,,girls,2024,2021,insidelacrosse
22,Jersey Shore Select 2024 Blue,94.58,,girls,2024,2021,insidelacrosse
23,M&D 2024 Red,94.54,,girls,2024,2021,insidelacrosse
24,STEPS California 2024,94.53,,girls,2024,2021,insidelacrosse
25,Mass Elite 2024 Red,94.41,,girls,2024,2021,insidelacrosse
26,Team 91 Carolina 2024 Flight,94.16,,girls,2024,2021,insidelacrosse
27,ESLC Pirates 2024,94.13,,girls,2024,2021,insidelacrosse
28,Salt City Snipers 2024,94.11,,girls,2024,2021,insidelacrosse
29,MD United 2024 East,94.03,,girls,2024,2021,insidelacrosse
30,Renegades 2024,93.97,,girls,2024,2021,insidelacrosse
31,LI Legacy 2024 Blue,93.94,,girls,2024,2021,insidelacrosse
32,MFL 2024 Black,93.9,,girls,2024,2021,insidelacrosse
33,NewLax 2024,93.9,,girls,2024,2021,insidelacrosse
34,Big 4 HHH 2024,93.82,,girls,2024,2021,insidelacrosse
35,Southern Zone 2024,93.75,,girls,2024,2021,insidelacrosse
36,Pride 2024 Black,93.68,,girls,2024,2021,insidelacrosse
37,GC34 2024,93.65,,girls,2024,2021,insidelacrosse
38,Storm Select 2024,93.63,,girls,2024,2021,insidelacrosse
39,LI Yellow Jackets 2024 Kildare,93.59,,girls,2024,2021,insidelacrosse
40,M&D Orlando 2024 Black,93.58,,girls,2024,2021,insidelacrosse
41,South Jersey Select 2024 Pink,93.58,,girls,2024,2021,insidelacrosse
42,True Illinois U15 Premier,93.41,,girls,2024,2021,insidelacrosse
43,Predators 2024,93.35,,girls,2024,2021,insidelacrosse
44,Primetime 2024,93.27,,girls,2024,2021,insidelacrosse
45,BBL Elite 2024 Black,93.21,,girls,2024,2021,insidelacrosse
46,Aim 2024,93.18,,girls,2024,2021,insidelacrosse
47,Phantastix 2024 Purple,93.15,,girls,2024,2021,insidelacrosse
48,Atlanta Storm 2024 Blue,93.12,,girls,2024,2021,insidelacrosse
49,Relentless Hustle 2024,93.1,,girls,2024,2021,insidelacrosse
50,LI Liberty 2024 Black,92.99,,girls,2024,2021,insidelacrosse
51,Hero's 2024 White,92.95,,girls,2024,2021,insidelacrosse
52,Charlotte Style 2024,92.83,,girls,2024,2021,insidelacrosse
53,Yellow Jackets South 2024,92.83,,girls,2024,2021,insidelacrosse
54,TLC 2024 Red,92.77,,girls,2024,2021,insidelacrosse
55,Checkhers 2024,92.75,,girls,2024,2021,insidelacrosse
56,Coppermine 2024 Black,92.73,,girls,2024,2021,insidelacrosse
57,Laxachusetts 2024 Green,92.6,,girls,2024,2021,insidelacrosse
58,LI Top Guns 2024 Black,92.55,,girls,2024,2021,insidelacrosse
59,Limitless 2024,92.48,,girls,2024,2021,insidelacrosse
60,Elite 2024,92.28,,girls,2024,2021,insidelacrosse
61,5280 Lacrosse 2024,92.21,,girls,2024,2021,insidelacrosse
62,Lacrosse Monkey 2024,92.21,,girls,2024,2021,insidelacrosse
63,NH Tomahawks 2024 Purple,92.03,,girls,2024,2021,insidelacrosse
64,CLC 2024 Pride,92.01,,girls,2024,2021,insidelacrosse
65,Team Elevate 2024 Blue,91.95,,girls,2024,2021,insidelacrosse
66,HOCO 2024 Pink,91.93,,girls,2024,2021,insidelacrosse
67,No Excuse 2024,91.93,,girls,2024,2021,insidelacrosse
68,LI Yellow Jackets 2024 O'Sullivan,91.86,,girls,2024,2021,insidelacrosse
69,Capital 2024 Orange,91.79,,girls,2024,2021,insidelacrosse
70,York Invaders 2024,91.79,,girls,2024,2021,insidelacrosse
71,True MN 2024 AAA,91.76,,girls,2024,2021,insidelacrosse
72,Sky Walkers 2024 White,91.74,,girls,2024,2021,insidelacrosse
73,Lake Effect Storm 2024 Elite,91.66,,girls,2024,2021,insidelacrosse
74,Ultimate CC 2024 Blue,91.5,,girls,2024,2021,insidelacrosse
75,CCLax 2024 Black,91.47,,girls,2024,2021,insidelacrosse
76,Dynasty Elite 2024 Zulu,91.42,,girls,2024,2021,insidelacrosse
77,PA Express 2024 Orange,91.39,,girls,2024,2021,insidelacrosse
78,Sound 2024,91.36,,girls,2024,2021,insidelacrosse
79,HOCO 2024 Black,91.34,,girls,2024,2021,insidelacrosse
80,GRIT Dallas 2024,91.3,,girls,2024,2021,insidelacrosse
81,Maryland Select 2024,91.21,,girls,2024,2021,insidelacrosse
82,Bluegrass Premier 2024,91.14,,girls,2024,2021,insidelacrosse
83,Check-Hers 2024 Black,91.11,,girls,2024,2021,insidelacrosse
84,True Illinois 2024 State,90.98,,girls,2024,2021,insidelacrosse
85,Coast 2024 Elite,90.92,,girls,2024,2021,insidelacrosse
86,Mesa PA 2024,90.91,,girls,2024,2021,insidelacrosse
87,C2 Select 2024 Black,90.9,,girls,2024,2021,insidelacrosse
88,Eagle Stix 2024 Blue,90.7,,girls,2024,2021,insidelacrosse
89,Tenacity Bay Area CA/UT 2024,90.69,,girls,2024,2021,insidelacrosse
90,LI Jesters 2024 Black,90.64,,girls,2024,2021,insidelacrosse
91,Bandits 2024 Hall,90.61,,girls,2024,2021,insidelacrosse
92,Bay State Bullets 2024 Silver,90.59,,girls,2024,2021,insidelacrosse
93,Grit Houston 2024,90.59,,girls,2024,2021,insidelacrosse
94,Albany Power 2024,90.55,,girls,2024,2021,insidelacrosse
95,Mad Dog NJ North 2024 Black,90.5,,girls,2024,2021,insidelacrosse
96,DEWLAX 2024 BLUE,90.48,,girls,2024,2021,insidelacrosse
97,BBL Elite 2024 North,90.46,,girls,2024,2021,insidelacrosse
98,REV 2024/2025 Black,90.38,,girls,2024,2021,insidelacrosse
99,Snipers Elite 2024,90.24,,girls,2024,2021,insidelacrosse
100,NXT 2024 Black,90.17,,girls,2024,2021,insidelacrosse
101,BlackJack 2024 Red,90.0,,girls,2024,2021,insidelacrosse
102,Pittsburgh Premier 2024 Blue,89.97,,girls,2024,2021,insidelacrosse
103,Resolute 2024 Black,89.91,,girls,2024,2021,insidelacrosse
104,True National 2024,89.81,,girls,2024,2021,insidelacrosse
105,Carolina Fever 2024,89.8,,girls,2024,2021,insidelacrosse
106,STEPS Elite NJ 2024 White,89.79,,girls,2024,2021,insidelacrosse
107,Central 2024,89.58,,girls,2024,2021,insidelacrosse
108,Xtreme 2024,89.54,,girls,2024,2021,insidelacrosse
109,Monster National 2024 White,89.53,,girls,2024,2021,insidelacrosse
110,SJ Shamrocks 2024,89.5,,girls,2024,2021,insidelacrosse
111,Team 91 Long Island 2024 Crossfire,89.5,,girls,2024,2021,insidelacrosse
112,214Lax Dallas 2024,89.38,,girls,2024,2021,insidelacrosse
113,Nor'easter 2024 Grit,89.34,,girls,2024,2021,insidelacrosse
114,Common Goal 2024,89.32,,girls,2024,2021,insidelacrosse
115,CT Grizzlies 2024 Yellow,89.32,,girls,2024,2021,insidelacrosse
116,LI Top Guns 2024 Purple,89.12,,girls,2024,2021,insidelacrosse
117,Dynasty 2024 Zulu,89.07,,girls,2024,2021,insidelacrosse
118,Mesa PA 2024 Orange,89.06,,girls,2024,2021,insidelacrosse
119,MC Elite 2024 Midnight,89.05,,girls,2024,2021,insidelacrosse
120,Sound 2024,89.05,,girls,2024,2021,insidelacrosse
121,Dynasty Elite 2024 Bravo,89.04,,girls,2024,2021,insidelacrosse
122,Ultimate PA 2024 Blue,88.88,,girls,2024,2021,insidelacrosse
123,Seattle Starz 2024,88.86,,girls,2024,2021,insidelacrosse
124,FLG 2024,88.72,,girls,2024,2021,insidelacrosse
125,UPROAR 2024 ELITE,88.72,,girls,2024,2021,insidelacrosse
126,Queen City Stars Black 2024,88.57,,girls,2024,2021,insidelacrosse
127,Belles 2024,88.53,,girls,2024,2021,insidelacrosse
128,Pure Lacrosse 2024,88.46,,girls,2024,2021,insidelacrosse
129,South Jersey Select 2024 Black,88.43,,girls,2024,2021,insidelacrosse
130,Major Force Black 2024,88.4,,girls,2024,2021,insidelacrosse
131,Burning River 2024 Maroon,88.39,,girls,2024,2021,insidelacrosse
132,Headstrong 2024,88.34,,girls,2024,2021,insidelacrosse
133,BBL Elite 2024 Select,88.3,,girls,2024,2021,insidelacrosse
134,Laxachusetts 2024 White,88.3,,girls,2024,2021,insidelacrosse
135,HGR 2024,88.28,,girls,2024,2021,insidelacrosse
136,Laxachusettes 2024 Gold,88.25,,girls,2024,2021,insidelacrosse
137,Lady Blue Crabs 2024,88.22,,girls,2024,2021,insidelacrosse
138,Gold Coast 2024 Gold,88.18,,girls,2024,2021,insidelacrosse
139,Metro 2024 Blue,88.18,,girls,2024,2021,insidelacrosse
140,GSE 2024,88.06,,girls,2024,2021,insidelacrosse
141,Gold Coast 2024 Silver,88.0,,girls,2024,2021,insidelacrosse
142,LI Empire 2024 Bengals,88.0,,girls,2024,2021,insidelacrosse
143,Middlesex Bears 2024,87.97,,girls,2024,2021,insidelacrosse
144,Philly Blast 2024 Fire,87.9,,girls,2024,2021,insidelacrosse
145,Metro 2024 Green,87.74,,girls,2024,2021,insidelacrosse
146,Iron Horse Austin 2024,87.66,,girls,2024,2021,insidelacrosse
147,DEWLAX 2024 White,87.61,,girls,2024,2021,insidelacrosse
148,Nor'easter 2024 Power,87.5,,girls,2024,2021,insidelacrosse
149,Ultimate NJ 2024 Blue,87.42,,girls,2024,2021,insidelacrosse
150,Triumph 2024,87.35,,girls,2024,2021,insidelacrosse
151,Uproar 2024,87.26,,girls,2024,2021,insidelacrosse
152,REV 2024 Blue,87.19,,girls,2024,2021,insidelacrosse
153,Yellow Jackets North 2024,87.1,,girls,2024,2021,insidelacrosse
154,Rebels 2024 Black,86.83,,girls,2024,2021,insidelacrosse
155,All Lax 2024,86.81,,girls,2024,2021,insidelacrosse
156,T3 Elite Elite 2024,86.8,,girls,2024,2021,insidelacrosse
157,Team ONE Wildcat 2024,86.77,,girls,2024,2021,insidelacrosse
158,Lax Plus 2024,86.61,,girls,2024,2021,insidelacrosse
159,Summit Elite 2024,86.6,,girls,2024,2021,insidelacrosse
160,Florida Shine Elite 2024,86.56,,girls,2024,2021,insidelacrosse
161,Minnesota Elite 2024,86.55,,girls,2024,2021,insidelacrosse
162,Coastal Crush 2024,86.49,,girls,2024,2021,insidelacrosse
163,NC Fusion 2024,86.4,,girls,2024,2021,insidelacrosse
164,ADK 2024,86.38,,girls,2024,2021,insidelacrosse
165,Pride 2024 White,86.33,,girls,2024,2021,insidelacrosse
166,Platform Academy 2024,86.32,,girls,2024,2021,insidelacrosse
167,Phantastix 2024 West,86.09,,girls,2024,2021,insidelacrosse
168,Atlanta Storm 2024 Orange,86.08,,girls,2024,2021,insidelacrosse
169,Rebels 2024,86.08,,girls,2024,2021,insidelacrosse
170,Maineiax Black 2024,86.06,,girls,2024,2021,insidelacrosse
171,Triple Threat Elite 2024,86.0,,girls,2024,2021,insidelacrosse
172,TLC 2024 White,85.99,,girls,2024,2021,insidelacrosse
